"Sample.Name","n_qpcrs","CT.sd","CT","Quantity.sd","Quantity","Target.Name","Task","Date","Coho.M","Coho.F","Coho.Jack","Coho.Juv","Sum","sum.adult","sum.2"
"90A",3,0.132296651937832,32.1515134175619,0.000219086729436336,0.00266103236936033,"Coho","UNKNOWN",2016-09-20,0,0,0,34,34,0,0
"91A",3,0.110701812343837,31.6969121297201,0.000251020803838755,0.00354011418918769,"Coho","UNKNOWN",2016-09-21,0,0,0,45,45,0,0
"92A",3,0.0432383954437894,30.9337177276611,0.000156481202535484,0.00571493105962873,"Coho","UNKNOWN",2016-09-22,0,0,1,31,32,0,1
"93A",3,0.485538006755218,31.9882074991862,0.00087467566092784,0.00303182595719894,"Coho","UNKNOWN",2016-09-23,0,1,0,25,26,1,1
"94A",3,0.223414850544028,30.9987932840983,0.000749760319839444,0.00551969092339277,"Coho","UNKNOWN",2016-09-24,0,0,0,27,27,0,0
"95A",3,0.221703005231537,31.8430716196696,0.000438452301523968,0.00324427445108692,"Coho","UNKNOWN",2016-09-25,0,0,1,11,12,0,1
"96A",3,0.271201237660482,32.6890144348145,0.000333529332154089,0.00191172158035139,"Coho","UNKNOWN",2016-09-26,0,0,0,17,17,0,0
"97A",3,0.194885922729076,31.2703100840251,0.000550951221842868,0.00464553649847706,"Coho","UNKNOWN",2016-09-27,0,0,1,33,34,0,1
"98A",3,0.128676881713472,33.2502250671387,0.000110097740696966,0.00133264743878196,"Coho","UNKNOWN",2016-09-28,0,0,1,15,16,0,1
"99A",3,0.0295026379602471,31.0046208699544,0.000101217213284375,0.00546479457989335,"Coho","UNKNOWN",2016-09-29,1,2,2,9,14,3,5
"100A",3,0.122849824411367,31.9129549662272,0.000236256281861061,0.00309112023872634,"Coho","UNKNOWN",2016-09-30,1,0,2,11,14,1,3
"101A",3,0.174416841821416,33.2446899414062,0.000151147303446367,0.00133980919296543,"Coho","UNKNOWN",2016-10-01,0,0,1,11,12,0,1
"102A",3,0.255056106076744,33.6327857971191,0.000166082432818152,0.00105408427771181,"Coho","UNKNOWN",2016-10-02,0,0,2,5,7,0,2
"103A",3,0.116857834529577,33.1100209554036,8.01078444095878e-05,0.00100317090982571,"Coho","UNKNOWN",2016-10-03,0,0,0,7,7,0,0
"104A",3,0.202073202872981,32.0512231190999,0.000276134619423823,0.00206173669236402,"Coho","UNKNOWN",2016-10-04,0,0,1,7,8,0,1
"105A",3,0.214126322112913,31.4523328145345,0.000428269249848793,0.00309372576884925,"Coho","UNKNOWN",2016-10-05,0,0,0,11,11,0,0
"106A",3,0.0983383159333208,30.4742698669434,0.000400390537967103,0.0059642397488157,"Coho","UNKNOWN",2016-10-06,0,0,1,5,6,0,1
"107A",3,0.169976784068807,31.2768268585205,0.000411998112903546,0.00347579813872774,"Coho","UNKNOWN",2016-10-07,0,0,0,0,0,0,0
"108A",3,0.179446159625992,31.1845874786377,0.000433234545157661,0.00370071595534682,"Coho","UNKNOWN",2016-10-08,0,0,0,5,5,0,0
"109A",3,0.0524424569392195,29.145393371582,0.000522117311186259,0.01464026235044,"Coho","UNKNOWN",2016-10-09,0,0,0,0,0,0,0
