"SampleID","Date","Plate_ID","SampleNumber","SampleReplicate","updownstream","CT_mean.all","CT_sd.all","Qty_ng_per_ul_mean.all","Qty_ng_per_ul_sd.all","n_qpcrs.all","Smolts","Sockeye_Male","Sockeye_Female","Sockeye_Jack","SockeyeTotalCount","Water_Date","Gage_Height","Depth_inches","Q_cfs","Avg_Temp","Q_corr_qpcr.all","G_corr_qpcr.all"
"1B",2016-06-17,"Auk1",1,"B","upstream",31.4841340591728,10.6231106320977,9.7464050365185e-06,1.64405065637566e-05,822,6,0,0,0,6,2016-06-17,21.6,15.24,12.1610596309267,17.1964166666667,1.00232287302667e-06,9.21323189447701e-06
"2B",2016-06-20,"Auk11",2,"B","upstream",31.4841340591728,10.6231106320977,1.72240094495161e-05,1.52823267206116e-05,822,NA,0,0,0,0,2016-06-20,21.37,12.48,6.99004411758919,16.1101666666667,1.01813634109804e-06,1.61084062116481e-05
"3B",2016-06-21,"Auk2",3,"B","upstream",31.4841340591728,10.6231106320977,5.11024760877869e-06,4.31858363605343e-06,822,NA,0,0,0,0,2016-06-21,21.32,11.88,6.14641437350269,15.8961666666667,2.65616804064523e-07,4.76807348005084e-06
"4B",2016-06-22,"Auk2",4,"B","upstream",31.4841340591728,10.6231106320977,6.3082376679328e-06,7.0518496528852e-06,822,NA,0,0,0,0,2016-06-22,21.27,11.28,5.3869664934391,16.1519166666667,2.87371760833949e-07,5.8720444287497e-06
"5B",2016-06-27,"Auk11",5,"B","upstream",31.4841340591728,10.6231106320977,1.80487406093259e-05,2.46102260352222e-05,822,NA,0,0,0,0,2016-06-27,21.46,13.56,8.74305906906426,16.4963333333333,1.33444931604809e-06,1.69508084672268e-05
"6B",2016-06-28,"Auk2",6,"B","upstream",31.4841340591728,10.6231106320977,5.41985597616682e-06,8.39902995641991e-06,822,NA,0,0,0,0,2016-06-28,21.4,12.84,7.53949373196175,17.1214583333333,3.45558593732871e-07,5.0759263846814e-06
"7B",2016-06-29,"Auk2",7,"B","upstream",31.4841340591728,10.6231106320977,0,0,822,NA,0,0,0,0,2016-06-29,21.36,12.36,6.81425670792916,17.59325,0,0
"8B",2016-06-30,"Auk11",8,"B","upstream",31.4841340591728,10.6231106320977,2.7618188141787e-05,2.17840020090515e-05,822,NA,0,0,0,0,2016-06-30,21.39,12.72,7.35260512573837,18.0730416666667,1.71722892018003e-06,2.58535249169726e-05
"9B",2016-07-01,"Auk2",9,"B","upstream",31.4841340591728,10.6231106320977,0.000218296971676561,5.76984044224738e-05,822,NA,22,13,0,35,2016-07-01,21.58,15,11.6157774490273,17.877125,2.14431093882637e-05,0.000206164054651211
"10B",2016-07-02,"Auk2",10,"B","upstream",31.4841340591728,10.6231106320977,0.0537252401312192,0.00393601625526985,822,NA,119,60,0,179,2016-07-02,21.64,15.72,13.313647548687,17.3407083333333,0.00604877163457174,0.0508802711789752
"11B",2016-07-03,"Auk2",11,"B","upstream",31.4841340591728,10.6231106320977,0.00408560611928503,7.20802596110251e-05,822,NA,36,37,2,75,2016-07-03,21.6,15.24,12.1610596309267,17.6235,0.000420164814430894,0.00386210469044011
"12B",2016-07-04,"Auk2",12,"B","upstream",31.4841340591728,10.6231106320977,0.00277475834203263,0.000447414338068853,822,NA,33,32,0,65,2016-07-04,21.52,14.28,10.0971774800008,17.7074583333333,0.000236928291744238,0.00261325162015502
"13B",2016-07-05,"Auk2",13,"B","upstream",31.4841340591728,10.6231106320977,0.000912667407343785,0.00012525633392872,822,NA,3,1,0,4,2016-07-05,21.46,13.56,8.74305906906426,17.8764583333333,6.7478857604059e-05,0.000857148470967073
"14B",2016-07-06,"Auk2",14,"B","upstream",31.4841340591728,10.6231106320977,0.000739134052613129,0.00014512617802514,822,NA,0,0,0,0,2016-07-06,21.38,12.6,7.16947452448897,17.652625,4.48128231158051e-05,0.00069158363434874
"15B",2016-07-07,"Auk3",15,"B","upstream",31.4841340591728,10.6231106320977,0.067559522887071,0.00407448844375705,822,NA,81,81,4,166,2016-07-07,21.37,12.48,6.99004411758919,17.7176666666667,0.00399354201704204,0.0631836763280834
"16B",2016-07-08,"Auk3",16,"B","upstream",31.4841340591728,10.6231106320977,0.00400357662389676,0.00029598626431583,822,NA,14,4,0,18,2016-07-08,21.27,11.28,5.3869664934391,18.2964583333333,0.000182382929211966,0.00372674287922468
"17B",2016-07-09,"Auk3",17,"B","upstream",31.4841340591728,10.6231106320977,0.00140822442093243,4.48068495459541e-05,822,NA,0,0,0,0,2016-07-09,21.2,10.44,4.45275592661551,18.333,5.30264470900328e-05,0.00130653644305328
"18B",2016-07-10,"Auk3",18,"B","upstream",31.4841340591728,10.6231106320977,0.000384852678204576,0.000142375322612333,822,NA,0,0,0,0,2016-07-10,21.16,9.96000000000002,3.98073639214129,18.2805833333333,1.29553663911319e-05,0.000356388738328614
"19B",2016-07-11,"Auk3",19,"B","upstream",31.4841340591728,10.6231106320977,0.000913311261683702,3.06117755656839e-05,822,NA,0,0,0,0,2016-07-11,21.14,9.72000000000003,3.76037290748897,18.0191666666667,2.90430013665956e-05,0.000844962804025972
"20B",2016-07-12,"Auk3",20,"B","upstream",31.4841340591728,10.6231106320977,0.000122517941539021,1.20039381932154e-05,822,NA,0,0,0,0,2016-07-12,21.08,9,3.15763717185713,18.2395833333333,3.27155092466363e-06,0.000113027492675823
"21B",2016-07-13,"Auk3",21,"B","upstream",31.4841340591728,10.6231106320977,4.16544098698068e-05,9.97055325034496e-06,822,NA,0,0,0,0,2016-07-13,21.05,8.64000000000003,2.88700984553577,18.2304166666667,1.01695331997181e-06,3.83730996831262e-05
"22B",2016-07-14,"Auk3",22,"B","upstream",31.4841340591728,10.6231106320977,2.93805796900415e-05,1.67348372719565e-05,822,NA,0,0,0,0,2016-07-14,21.01,8.16000000000004,2.55561465789962,17.7149583333333,6.34961653387986e-07,2.70147036887427e-05
"23B",2016-07-15,"Auk11",23,"B","upstream",31.4841340591728,10.6231106320977,6.02297944472715e-05,3.2291556466786e-05,822,NA,0,0,0,0,2016-07-15,20.97,7.68000000000001,2.25563331907857,17.3710416666667,1.14887201199088e-06,5.52743452761174e-05
"24B",2016-07-16,"Auk11",24,"B","upstream",31.4841340591728,10.6231106320977,3.1233900396425e-05,2.45201760864063e-05,822,NA,0,0,0,0,2016-07-16,20.95,7.44000000000001,2.11669301691549,17.166625,5.59082457522392e-07,2.86367708229804e-05
"25B",2016-07-17,"Auk3",25,"B","upstream",31.4841340591728,10.6231106320977,5.75078714367313e-05,3.47668074778071e-05,822,NA,0,0,0,0,2016-07-17,20.9,6.84,1.79934470913842,17.3359583333333,8.7505113371308e-07,5.2600197506682e-05
"26B",2016-07-18,"Auk11",26,"B","upstream",31.4841340591728,10.6231106320977,5.07582838811989e-06,1.24331895728273e-05,822,NA,0,0,0,0,2016-07-18,20.87,6.48000000000003,1.62818453622998,17.6380416666667,6.98879535114139e-08,4.63599730678609e-06
"27B",2016-07-19,"Auk11",27,"B","upstream",31.4841340591728,10.6231106320977,6.51259809577217e-06,7.20934203175981e-06,822,NA,0,0,0,0,2016-07-19,20.87,6.48000000000003,1.62818453622998,18.1172916666667,8.96705164463683e-08,5.9482679325499e-06
"28B",2016-07-20,"Auk11",28,"B","upstream",31.4841340591728,10.6231106320977,7.23765151633415e-06,8.96586505840952e-06,822,NA,0,0,0,0,2016-07-20,20.86,6.36000000000001,1.57414806509705,17.7575833333333,9.63462944169568e-08,6.60732650462715e-06
"29B",2016-07-21,"Auk11",29,"B","upstream",31.4841340591728,10.6231106320977,7.75894295657054e-06,9.50465434156381e-06,822,NA,0,0,0,0,2016-07-21,20.86,6.36000000000001,1.57414806509705,17.016375,1.03285630811463e-07,7.08321882162194e-06
"30B",2016-07-22,"Auk4",30,"B","upstream",31.4841340591728,10.6231106320977,0.00425072798194985,0.000533209016568415,822,NA,5,3,0,8,2016-07-22,20.98,7.80000000000003,2.32781258009479,16.838625,8.36764202185979e-05,0.00390285658911631
"31B",2016-07-23,"Auk4",31,"B","upstream",31.4841340591728,10.6231106320977,0.0251345336437225,0.00157166968168807,822,NA,286,233,3,522,2016-07-23,21.35,12.24,6.64205570835871,16.6765416666667,0.00141177378341452,0.0234845642579202
"32B",2016-07-24,"Auk4",32,"B","upstream",31.4841340591728,10.6231106320977,0.0278274690111478,0.00159023855101483,822,NA,287,301,3,591,2016-07-24,21.9,18.84,23.1439845579245,15.63725,0.00544632565904881,0.0266705282863955
"33B",2016-07-25,"Auk4",33,"B","upstream",31.4841340591728,10.6231106320977,0.0146991595004996,0.00141215651034617,822,NA,127,234,2,363,2016-07-25,22.24,22.92,44.077290032508,15.08075,0.00547897293594747,0.0143067530543156
"34B",2016-07-26,"Auk4",34,"B","upstream",31.4841340591728,10.6231106320977,0.00217372248880565,0.000201635615743327,822,NA,41,55,0,96,2016-07-26,22.29,23.52,48.1481071624595,14.9742916666667,0.000885064831948513,0.00212044964006468
"35B",2016-07-27,"Auk4",35,"B","upstream",31.4841340591728,10.6231106320977,0.00187788732970754,0.000230154231073662,822,NA,34,34,0,68,2016-07-27,22.33,24,51.6187372088519,14.5962083333333,0.000819725933525766,0.00183515203817809
"36B",2016-07-28,"Auk4",36,"B","upstream",31.4841340591728,10.6231106320977,0.00115295518965771,7.4911042611702e-05,822,NA,20,26,2,48,2016-07-28,22.82,29.88,113.117663988232,14.2435833333333,0.00110289615787388,0.00115144146293168
"37B",2016-07-29,"Auk4",37,"B","upstream",31.4841340591728,10.6231106320977,0.000661506569789102,0.000143200595071223,822,NA,14,22,0,36,2016-07-29,22.47,25.68,65.3918104039851,15.2341666666667,0.0003658047077719,0.000650505585258692
"38B",2016-07-30,"Auk4",38,"B","upstream",31.4841340591728,10.6231106320977,0.000692098692525178,0.000110609437125949,822,NA,7,8,0,15,2016-07-30,22.16,21.96,38.1452566902645,15.8217916666667,0.000223254559898136,0.000671199432225731
"39B",2016-07-31,"Auk4",39,"B","upstream",31.4841340591728,10.6231106320977,0.000266867641281957,1.58760583115415e-05,822,NA,6,5,0,11,2016-07-31,21.95,19.44,25.5754892904485,15.7174583333333,5.77180480789763e-05,0.000256356443157066
"40B",2016-08-01,"Auk4",40,"B","upstream",31.4841340591728,10.6231106320977,0.0013930123920242,9.55384401069427e-05,822,NA,2,1,0,3,2016-08-01,21.8,17.64,18.8398693187806,15.594875,0.000221934405055741,0.0013290008816686
"41B",2016-08-02,"Auk5",41,"B","upstream",31.4841340591728,10.6231106320977,0.00105521075117091,9.95922270369846e-05,822,NA,3,2,0,5,2016-08-02,21.69,16.32,14.8767644053607,15.5545833333333,0.000132751507110693,0.00100164206533467
"42B",2016-08-03,"Auk5",42,"B","upstream",31.4841340591728,10.6231106320977,0.00148770508045952,0.000104267436014648,822,NA,4,5,0,9,2016-08-03,21.62,15.48,12.7268228295138,15.41775,0.000160113743618269,0.00140762292514375
"43B",2016-08-04,"Auk5",43,"B","upstream",31.4841340591728,10.6231106320977,0.0089951055124402,0.000711633397874141,822,NA,22,35,0,57,2016-08-04,21.78,17.4,18.0622861895354,15.812125,0.00137394943123167,0.00857389050594957
