"","SampleID","Date","Plate_ID","SampleNumber","SampleReplicate","updownstream","CT_mean","CT_sd","Qty_ng_per_ul_mean","Qty_ng_per_ul_sd","n_qpcrs","Smolts","Sockeye_Male","Sockeye_Female","Sockeye_Jack","SockeyeTotalCount","Water_Date","Gage_Height","Depth_inches","Q_cfs","Avg_Temp","Q_corr_qpcr","G_corr_qpcr"
"1","1B",2016-06-17,"Auk1",1,"B","upstream",39.5790379842122,1.87097965427705,1.9492810073037e-05,1.97673571014106e-05,3,6,0,0,0,6,2016-06-17,21.6,15.24,12.1610596309267,17.1964166666667,0.000237053225672532,0.000421044697577599
"2","2B",2016-06-20,"Auk11",2,"B","upstream",38.6501045227051,0.291405766523501,2.58360141742742e-05,9.62198949328289e-06,4,NA,0,0,0,0,2016-06-20,21.37,12.48,6.99004411758919,16.1101666666667,0.000180594878900836,0.000552115622904239
"3","3B",2016-06-21,"Auk2",3,"B","upstream",41.3639577229818,3.0925034407297,5.11024760877869e-06,4.31858363605343e-06,3,NA,0,0,0,0,2016-06-21,21.32,11.88,6.14641437350269,15.8961666666667,3.14096993547551e-05,0.000108950479019162
"4","4B",2016-06-22,"Auk2",4,"B","upstream",39.9776458740234,1.17728926890288,1.26164753358656e-05,2.22258214513305e-06,3,NA,0,0,0,0,2016-06-22,21.27,11.28,5.3869664934391,16.1519166666667,6.79645298996087e-05,0.000268352430393861
"5","5B",2016-06-27,"Auk11",5,"B","upstream",38.9995239257812,1.1765082974706,2.1658488731191e-05,2.56778488313583e-05,5,NA,0,0,0,0,2016-06-27,21.46,13.56,8.74305906906426,16.4963333333333,0.000189361446323466,0.000464791168171359
"6","6B",2016-06-28,"Auk2",6,"B","upstream",39.300594329834,1.11785580543262,1.62595679285005e-05,4.69526799554773e-07,2,NA,0,0,0,0,2016-06-28,21.4,12.84,7.53949373196175,17.1214583333333,0.000122588910481336,0.00034795475366991
"7","8B",2016-06-30,"Auk11",8,"B","upstream",38.0272994995117,0.860057554590578,3.31418257701443e-05,1.9087931646525e-05,5,NA,0,0,0,0,2016-06-30,21.39,12.72,7.35260512573837,18.0730416666667,0.000243678758033891,0.000708903653223388
"8","9B",2016-07-01,"Auk2",9,"B","upstream",34.7926991780599,0.370076668716822,0.000218296971676561,5.76984044224738e-05,3,NA,22,13,0,35,2016-07-01,21.58,15,11.6157774490273,17.877125,0.00253568904079156,0.00471084864878018
"9","10B",2016-07-02,"Auk2",10,"B","upstream",26.8761692047119,0.103510675605078,0.0537252401312192,0.00393601625526985,3,NA,119,60,0,179,2016-07-02,21.64,15.72,13.313647548687,17.3407083333333,0.715278911575626,1.16261419643958
"10","11B",2016-07-03,"Auk2",11,"B","upstream",30.5643418629964,0.0253403639524181,0.00408560611928503,7.20802596110251e-05,3,NA,36,37,2,75,2016-07-03,21.6,15.24,12.1610596309267,17.6235,0.0496852996451044,0.0882490921765566
"11","12B",2016-07-04,"Auk2",12,"B","upstream",31.1316197713216,0.241857537044764,0.00277475834203263,0.000447414338068853,3,NA,33,32,0,65,2016-07-04,21.52,14.28,10.0971774800008,17.7074583333333,0.0280172274436163,0.0597127995205422
"12","13B",2016-07-05,"Auk2",13,"B","upstream",32.7198104858398,0.19016794654588,0.000912667407343785,0.00012525633392872,3,NA,3,1,0,4,2016-07-05,21.46,13.56,8.74305906906426,17.8764583333333,0.00797950505281645,0.0195858425615976
"13","14B",2016-07-06,"Auk2",14,"B","upstream",33.0311597188314,0.274970923555591,0.000739134052613129,0.00014512617802514,3,NA,0,0,0,0,2016-07-06,21.38,12.6,7.16947452448897,17.652625,0.00529920276039212,0.0158026860448687
"14","15B",2016-07-07,"Auk3",15,"B","upstream",27.9527632395426,0.0928065768679809,0.067559522887071,0.00407448844375705,3,NA,81,81,4,166,2016-07-07,21.37,12.48,6.99004411758919,17.7176666666667,0.472244045543902,1.44374700409671
