"","SampleID","Date","Plate_ID","SampleNumber","SampleReplicate","updownstream","CT_mean","CT_sd","Qty_ng_per_ul_mean","Qty_ng_per_ul_sd","n_qpcrs","Smolts","Sockeye_Male","Sockeye_Female","Sockeye_Jack","SockeyeTotalCount","Water_Date","Gage_Height","Depth_inches","Q_cfs","Avg_Temp","Q_corr_qpcr","G_corr_qpcr"
"97","98B",2016-09-28,"Auk9",98,"B","upstream",35.3661028544108,0.102399818452905,0.000295468450834354,2.05312434166122e-05,3,NA,0,0,0,0,2016-09-28,21.75,17.04,16.9446726714305,10.8120833333333,0.00500661618412277,0.00642643880564719
"98","99B",2016-09-29,"Auk9",99,"B","upstream",37.4512087504069,0.477109134919158,7.21600251078295e-05,2.17483416475553e-05,3,NA,0,0,0,0,2016-09-29,21.66,15.96,13.9221254892267,10.6349166666667,0.00100462092485696,0.00156298614383559
"99","100B",2016-09-30,"Auk9",100,"B","upstream",38.2068862915039,0.0989922796514804,4.14091712931016e-05,2.79665226494282e-06,3,NA,0,0,0,0,2016-09-30,21.59,15.12,11.8858942601837,10.5938333333333,0.000492185031391639,0.000894024008218063
"100","101B",2016-10-01,"Auk9",101,"B","upstream",34.7379264831543,0.229133830046412,0.000459248723927885,7.01685671263105e-05,3,NA,0,0,0,0,2016-10-01,21.5,14.04,9.62823420248948,10.089125,0.00442175427117211,0.00987384756444953
"101","102B",2016-10-02,"Auk9",102,"B","upstream",36.1257489522298,0.140603237153461,0.000174979810253717,1.74224489159944e-05,3,NA,0,0,0,0,2016-10-02,21.45,13.44,8.53237360424962,9.81179166666667,0.00149299311428542,0.00375331692994223
"102","103B",2016-10-03,"Auk9",103,"B","upstream",37.7163352966309,0.551809202022783,6.07134582727061e-05,2.04992484060087e-05,3,NA,0,0,0,0,2016-10-03,21.37,12.48,6.99004411758919,9.86429166666667,0.000424389751857626,0.00129744660328773
"103","104B",2016-10-04,"Auk9",104,"B","upstream",36.3689931233724,0.180190957679076,0.000148155920517941,1.77655618318521e-05,3,NA,0,0,0,0,2016-10-04,21.32,11.88,6.14641437350269,9.853,0.000910627679390996,0.00315868422544251
"104","105B",2016-10-05,"Auk9",105,"B","upstream",36.3553123474121,0.217428964370687,0.000149910139346806,2.17175236985267e-05,3,NA,0,0,0,0,2016-10-05,21.27,11.28,5.3869664934391,9.88525,0.000807560897688029,0.00318858866390656
"105","106B",2016-10-06,"Auk10",106,"B","upstream",36.4259668986003,0.219579250582909,0.000181428801928026,2.52147219767459e-05,3,NA,0,0,0,0,2016-10-06,21.23,10.8,4.83560308375205,9.83508333333333,0.000877317674084601,0.00385173346493199
"106","107B",2016-10-07,"Auk10",107,"B","upstream",44.8036651611328,1.60462830349828,9.92836049817925e-07,8.82049907717603e-07,2,NA,0,0,0,0,2016-10-07,21.19,10.32,4.33072563412879,9.43816666666667,4.29970053143365e-06,2.10381958956418e-05
