"","SampleID","Date","Plate_ID","SampleNumber","SampleReplicate","updownstream","CT_mean","CT_sd","Qty_ng_per_ul_mean","Qty_ng_per_ul_sd","n_qpcrs","Smolts","Sockeye_Male","Sockeye_Female","Sockeye_Jack","SockeyeTotalCount","Water_Date","Gage_Height","Depth_inches","Q_cfs","Avg_Temp","Q_corr_qpcr","G_corr_qpcr"
"1","1A",2016-06-17,"Auk1",1,"A","upstream",39.0691909790039,0.471514429939751,3.10871005240188e-05,7.24971534371205e-06,4,6,0,0,0,6,2016-06-17,21.6,15.24,12.1610596309267,17.1964166666667,0.000378052083225206,0.000671481371318805
"2","2A",2016-06-20,"Auk11",2,"A","upstream",38.193000793457,1.23598491048612,3.60567049331924e-05,2.56097423896719e-05,3,NA,0,0,0,0,2016-06-20,21.37,12.48,6.99004411758919,16.1101666666667,0.000252037958217911,0.000770531784422322
"3","3A",2016-06-21,"Auk11",3,"A","upstream",41.5371170043945,3.82388858671429,7.75515284582677e-06,6.75666955599615e-06,3,NA,0,0,0,0,2016-06-21,21.32,11.88,6.14641437350269,15.8961666666667,4.76663829202999e-05,0.000165339858673027
"4","4A",2016-06-22,"Auk11",4,"A","upstream",38.4831190109253,0.935351384701526,2.35862339650339e-05,1.21001805106716e-05,4,NA,0,0,0,0,2016-06-22,21.27,11.28,5.3869664934391,16.1519166666667,0.000127058252076053,0.000501679196436271
"5","5A",2016-06-27,"Auk2",5,"A","upstream",39.534366607666,1.17228209931485,1.76063528366891e-05,6.6982116355512e-06,3,NA,0,0,0,0,2016-06-27,21.46,13.56,8.74305906906426,16.4963333333333,0.00015393338284196,0.000377832331875349
"6","6A",2016-06-28,"Auk2",6,"A","upstream",39.1142559051514,0.624347903800132,1.09471479845524e-05,4.62592853235809e-06,2,NA,0,0,0,0,2016-06-28,21.4,12.84,7.53949373196175,17.1214583333333,8.25359536123908e-05,0.000234268966869422
"7","7A",2016-06-29,"Auk2",7,"A","upstream",40.2140216827393,0.744797527698082,8.93660126166651e-06,2.73570707349753e-06,2,NA,0,0,0,0,2016-06-29,21.36,12.36,6.81425670792916,17.59325,6.08962950933992e-05,0.000190885802949197
"8","8A",2016-06-30,"Auk11",8,"A","upstream",38.1694519042969,1.03609870989897,3.08378519548569e-05,2.18580039829344e-05,5,NA,0,0,0,0,2016-06-30,21.39,12.72,7.35260512573837,18.0730416666667,0.000226738548350042,0.000659621653314389
"9","9A",2016-07-01,"Auk2",9,"A","upstream",34.7473347981771,0.282136745260144,0.00022311649324062,4.31398689796677e-05,3,NA,22,13,0,35,2016-07-01,21.58,15,11.6157774490273,17.877125,0.00259167153069045,0.00481485392413257
"10","10A",2016-07-02,"Auk2",10,"A","upstream",26.9832388559977,0.0401901965148677,0.0497814814249674,0.00140641531720312,3,NA,119,60,0,179,2016-07-02,21.64,15.72,13.313647548687,17.3407083333333,0.662773098143524,1.0772712580363
"11","11A",2016-07-03,"Auk2",11,"A","upstream",27.1420154571533,0.0439044469742442,0.044560452302297,0.00135349782680448,3,NA,36,37,2,75,2016-07-03,21.6,15.24,12.1610596309267,17.6235,0.5419023176293,0.962505769729614
"12","12A",2016-07-04,"Auk2",12,"A","upstream",31.3114935557048,0.059198010463535,0.00242623159041007,0.000100285870431114,3,NA,33,32,0,65,2016-07-04,21.52,14.28,10.0971774800008,17.7074583333333,0.0244980909759552,0.0522125038256248
"13","13A",2016-07-05,"Auk2",13,"A","upstream",32.6520843505859,0.225647149745014,0.00095889907485495,0.000147545739254212,3,NA,3,1,0,4,2016-07-05,21.46,13.56,8.74305906906426,17.8764583333333,0.0083837112527279,0.0205779741463872
"14","14A",2016-07-06,"Auk2",14,"A","upstream",33.0790023803711,0.262336628586446,0.000713791135543337,0.000127299389327842,3,NA,0,0,0,0,2016-07-06,21.38,12.6,7.16947452448897,17.652625,0.005117507362084,0.0152608544779165
